id,brand,model,plate,price,color,description,horsePower,doors,picture,type,customer
uoo2jjAMckNdHTgiFYLp,Bugatti,Chiron,800 ABV,2402405,Red,Month respond quality tree form mission.,509,four,No data,SUV,
vvg3sGJTpXJtdU1hFyuz,Bugatti,Chiron Super Sport 300,8214KLQ,3500000,Naranja y negro,Capaz de superar los 482 km/h,1600,two,"{'url': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2F1741304486703_kvzi3ho741?alt=media&token=3361c70d-0d1f-4863-b829-7b014d998908', 'large': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2F1741304486703_kvzi3ho741?alt=media&token=3361c70d-0d1f-4863-b829-7b014d998908', 'medium': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2F1741304486703_kvzi3ho741?alt=media&token=3361c70d-0d1f-4863-b829-7b014d998908', 'small': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2F1741304486703_kvzi3ho741?alt=media&token=3361c70d-0d1f-4863-b829-7b014d998908', 'thumbnail': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2F1741304486703_kvzi3ho741?alt=media&token=3361c70d-0d1f-4863-b829-7b014d998908'}",Coupé,
zSm4Cq87dLEkWi8OFU6F,Bugatti,Bolide,83QV8,2052645,Blue,Find right study nice.,354,four,No data,Hypercar,ytJp6eiCPHXqYz6NSAMR690sq5E3
9GGM4dfv0PVOlb9WYFXm,Ferrari,SF90 Stradale,RBE G95,2426748,Orange,However teach grow six realize join.,736,two,"{'url': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Fferrari-sf90-xx-stradale.jpg?alt=media&token=7ade20b1-1b2a-4aba-9b5e-d6f7113c0272', 'large': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Fferrari-sf90-xx-stradale.jpg?alt=media&token=7ade20b1-1b2a-4aba-9b5e-d6f7113c0272', 'medium': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Fferrari-sf90-xx-stradale.jpg?alt=media&token=7ade20b1-1b2a-4aba-9b5e-d6f7113c0272', 'small': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Fferrari-sf90-xx-stradale.jpg?alt=media&token=7ade20b1-1b2a-4aba-9b5e-d6f7113c0272', 'thumbnail': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Fferrari-sf90-xx-stradale.jpg?alt=media&token=7ade20b1-1b2a-4aba-9b5e-d6f7113c0272'}",Hypercar,
FRY5KO91pNRsLgBv4Keu,Ferrari,812 Superfast,00RV391,2327282,Yellow,Today help whole.,1518,three,"{'url': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Fbig_full_4.jpeg?alt=media&token=882193b1-14f5-4c5e-8a42-beca6b77e99d', 'large': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Fbig_full_4.jpeg?alt=media&token=882193b1-14f5-4c5e-8a42-beca6b77e99d', 'medium': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Fbig_full_4.jpeg?alt=media&token=882193b1-14f5-4c5e-8a42-beca6b77e99d', 'small': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Fbig_full_4.jpeg?alt=media&token=882193b1-14f5-4c5e-8a42-beca6b77e99d', 'thumbnail': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Fbig_full_4.jpeg?alt=media&token=882193b1-14f5-4c5e-8a42-beca6b77e99d'}",Hypercar,
LskClMzUxktJtJSnwPbu,Ferrari,F40,5178JFQ,1500000,Rojo,Clásico con un V8 atmosférico,358,two,"{'url': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2F1741346326189_tu4zrirbpd?alt=media&token=7ee401b3-d429-46d8-a61f-4dbafdc1b888', 'large': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2F1741346326189_tu4zrirbpd?alt=media&token=7ee401b3-d429-46d8-a61f-4dbafdc1b888', 'medium': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2F1741346326189_tu4zrirbpd?alt=media&token=7ee401b3-d429-46d8-a61f-4dbafdc1b888', 'small': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2F1741346326189_tu4zrirbpd?alt=media&token=7ee401b3-d429-46d8-a61f-4dbafdc1b888', 'thumbnail': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2F1741346326189_tu4zrirbpd?alt=media&token=7ee401b3-d429-46d8-a61f-4dbafdc1b888'}",Coupé,ytJp6eiCPHXqYz6NSAMR690sq5E3
bWQUTveNy4tLOHkbHfEm,Ferrari,SF90 Stradale,3598 JBR,515000,Rojo,Híbrido enchufable,1000,two,"{'url': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2F1741192233114_j12r6ulx8k?alt=media&token=64a0a7c6-5cbc-410a-8467-a6c5b30f3f40', 'large': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2F1741192233114_j12r6ulx8k?alt=media&token=64a0a7c6-5cbc-410a-8467-a6c5b30f3f40', 'medium': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2F1741192233114_j12r6ulx8k?alt=media&token=64a0a7c6-5cbc-410a-8467-a6c5b30f3f40', 'small': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2F1741192233114_j12r6ulx8k?alt=media&token=64a0a7c6-5cbc-410a-8467-a6c5b30f3f40', 'thumbnail': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2F1741192233114_j12r6ulx8k?alt=media&token=64a0a7c6-5cbc-410a-8467-a6c5b30f3f40'}",Coupé,
fye1I3w40Sdfa4NXuPnr,Ferrari,Portofino,7TZR508,1259101,Blue,Discuss wear small collection responsibility technology with.,1271,four,"{'url': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Fferrari_portofino-2017_r7.webp?alt=media&token=db317c6d-733a-4bd0-b2e2-c0c3f33cf85f', 'large': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Fferrari_portofino-2017_r7.webp?alt=media&token=db317c6d-733a-4bd0-b2e2-c0c3f33cf85f', 'medium': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Fferrari_portofino-2017_r7.webp?alt=media&token=db317c6d-733a-4bd0-b2e2-c0c3f33cf85f', 'small': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Fferrari_portofino-2017_r7.webp?alt=media&token=db317c6d-733a-4bd0-b2e2-c0c3f33cf85f', 'thumbnail': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Fferrari_portofino-2017_r7.webp?alt=media&token=db317c6d-733a-4bd0-b2e2-c0c3f33cf85f'}",Hypercar,
orjGVfRvK4MLjQa8YQvi,Ferrari,Roma,HNI 859,731085,Yellow,Focus picture boy decision leave treat off.,665,three,No data,Convertible,
yXUM7e3vWWkTMOCDFE0t,Ferrari,F8 Tributo,536-RMW,2267292,Red,Short worker north cup will seem letter.,393,four,No data,SUV,
KCI0F0tR3663nQ0CnwcB,Koenigsegg,Regera,LUO 136,1843647,Red,Including happy action back.,600,two,"{'url': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Fkoenigsegg-regera-mmp-1-1591115837.avif?alt=media&token=7d14eeca-8a6e-4119-bae3-dc32bdf10e34', 'large': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Fkoenigsegg-regera-mmp-1-1591115837.avif?alt=media&token=7d14eeca-8a6e-4119-bae3-dc32bdf10e34', 'medium': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Fkoenigsegg-regera-mmp-1-1591115837.avif?alt=media&token=7d14eeca-8a6e-4119-bae3-dc32bdf10e34', 'small': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Fkoenigsegg-regera-mmp-1-1591115837.avif?alt=media&token=7d14eeca-8a6e-4119-bae3-dc32bdf10e34', 'thumbnail': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Fkoenigsegg-regera-mmp-1-1591115837.avif?alt=media&token=7d14eeca-8a6e-4119-bae3-dc32bdf10e34'}",Sport,
oROlu36h9ytoK3JuY3C1,Koenigsegg,Gemera,2-26661P,848631,White,Camera area rather argue religious see reflect.,770,two,No data,Hypercar,
urC0H040CMU6zAchAbZo,Koenigsegg,Agera RS,98Y QN1,2609661,Green,Player worry suggest.,908,four,No data,Convertible,
wDlIUrYWWM1vC3gbV93l,Koenigsegg,CC850,452S0,2351688,Blue,No future decide theory add.,636,two,No data,Sport,fD6BDbia33S3cuTjYPWP8ePn1LW2
yhUahoOSu1l7Jl7b3SFg,Koenigsegg,Jesko,2Z 9X2JXX,1871934,Green,Future inside accept soon hair network.,784,three,No data,Sport,
OBZDbLayLbsaD3mgudsw,Lamborghini,Aventador SVJ,4537BQF,550000,Verde,Motor V12,770,two,"{'url': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2F1741279870706_m7xk5nq2lw?alt=media&token=26c222eb-d123-49e1-a412-f687f8bb543f', 'large': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2F1741279870706_m7xk5nq2lw?alt=media&token=26c222eb-d123-49e1-a412-f687f8bb543f', 'medium': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2F1741279870706_m7xk5nq2lw?alt=media&token=26c222eb-d123-49e1-a412-f687f8bb543f', 'small': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2F1741279870706_m7xk5nq2lw?alt=media&token=26c222eb-d123-49e1-a412-f687f8bb543f', 'thumbnail': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2F1741279870706_m7xk5nq2lw?alt=media&token=26c222eb-d123-49e1-a412-f687f8bb543f'}",Coupé,
QPSZLAAgzJwXqsWCrIvB,Lamborghini,Urus,8AF9140,2903444,Green,Least develop tell grow you.,608,two,"{'url': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2F17368437435604.jpg?alt=media&token=e62f6cd8-a770-4983-8a0a-6eb0e426dc86', 'large': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2F17368437435604.jpg?alt=media&token=e62f6cd8-a770-4983-8a0a-6eb0e426dc86', 'medium': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2F17368437435604.jpg?alt=media&token=e62f6cd8-a770-4983-8a0a-6eb0e426dc86', 'small': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2F17368437435604.jpg?alt=media&token=e62f6cd8-a770-4983-8a0a-6eb0e426dc86', 'thumbnail': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2F17368437435604.jpg?alt=media&token=e62f6cd8-a770-4983-8a0a-6eb0e426dc86'}",Coupe,
WDXc8QwV77FScvZMW3Zl,Lamborghini,Aventador,8O 8632T,1393714,Yellow,Yeah east star professional his group.,1181,two,"{'url': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Fkxxsmpxaopxf5gzec22w.webp?alt=media&token=c623899a-7024-4352-8c64-5c58b8bb1af9', 'large': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Fkxxsmpxaopxf5gzec22w.webp?alt=media&token=c623899a-7024-4352-8c64-5c58b8bb1af9', 'medium': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Fkxxsmpxaopxf5gzec22w.webp?alt=media&token=c623899a-7024-4352-8c64-5c58b8bb1af9', 'small': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Fkxxsmpxaopxf5gzec22w.webp?alt=media&token=c623899a-7024-4352-8c64-5c58b8bb1af9', 'thumbnail': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Fkxxsmpxaopxf5gzec22w.webp?alt=media&token=c623899a-7024-4352-8c64-5c58b8bb1af9'}",Convertible,
qyC5LPTCEy5jxPBxGP6N,Lamborghini,Sian,07E N78,1310894,Yellow,Story yard participant million total respond race.,541,two,No data,Coupe,
vErAvetMlzFicAcce0KJ,Lamborghini,Revuelto,MLU3324,1188684,Red,Administration sometimes parent take executive.,896,three,No data,SUV,LR5O14I3PURJRq1qmWHu4ijebDs1
xPhha2mDli802ILcbacA,Lamborghini,Huracán,PHK 198,2206312,Green,Continue baby leg.,1374,two,No data,Sport,
B7Pn8V1gJqt2tDsBJ6WH,Lotus,Emira,PFL 672,1537446,Yellow,Dream first food admit either side people.,458,three,"{'url': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Flotus-emira-v6-first-edition.webp?alt=media&token=0ef6258c-a84e-4064-b564-8692eef44841', 'large': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Flotus-emira-v6-first-edition.webp?alt=media&token=0ef6258c-a84e-4064-b564-8692eef44841', 'medium': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Flotus-emira-v6-first-edition.webp?alt=media&token=0ef6258c-a84e-4064-b564-8692eef44841', 'small': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Flotus-emira-v6-first-edition.webp?alt=media&token=0ef6258c-a84e-4064-b564-8692eef44841', 'thumbnail': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Flotus-emira-v6-first-edition.webp?alt=media&token=0ef6258c-a84e-4064-b564-8692eef44841'}",SUV,
CPf7dJcLu0IkTkpZTjra,Lotus,Evora,82V D20,694067,Red,Other movement reality.,1290,four,"{'url': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Flotus-evora-gt430.webp?alt=media&token=a4589c19-4297-4417-8ce0-340edd8612ac', 'large': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Flotus-evora-gt430.webp?alt=media&token=a4589c19-4297-4417-8ce0-340edd8612ac', 'medium': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Flotus-evora-gt430.webp?alt=media&token=a4589c19-4297-4417-8ce0-340edd8612ac', 'small': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Flotus-evora-gt430.webp?alt=media&token=a4589c19-4297-4417-8ce0-340edd8612ac', 'thumbnail': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Flotus-evora-gt430.webp?alt=media&token=a4589c19-4297-4417-8ce0-340edd8612ac'}",Convertible,
SkkcUf6cBrief078g7xG,Lotus,Eletre,43DH895,412104,Black,Way member join though believe significant money.,751,four,"{'url': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Flotus_eletre-s_solar-yellow_static_1.jpg?alt=media&token=4f0f1286-3077-4e04-b411-a3f035f2e1de', 'large': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Flotus_eletre-s_solar-yellow_static_1.jpg?alt=media&token=4f0f1286-3077-4e04-b411-a3f035f2e1de', 'medium': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Flotus_eletre-s_solar-yellow_static_1.jpg?alt=media&token=4f0f1286-3077-4e04-b411-a3f035f2e1de', 'small': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Flotus_eletre-s_solar-yellow_static_1.jpg?alt=media&token=4f0f1286-3077-4e04-b411-a3f035f2e1de', 'thumbnail': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Flotus_eletre-s_solar-yellow_static_1.jpg?alt=media&token=4f0f1286-3077-4e04-b411-a3f035f2e1de'}",Hypercar,
UX5pEe6ncdVnvAchrhjP,Lotus,Elise,CRC-0340,2433230,Silver,Eye affect understand upon.,924,three,"{'url': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Felectric-lotus-elise-delayed-until-lighter-batteries-exist-v0-Pfo8m8BtFReS8eVkwlNdLrzrOV1iQDSgDZpDgSJtEBo.webp?alt=media&token=c97361ef-dd9f-48b3-9526-01c868dcd5f0', 'large': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Felectric-lotus-elise-delayed-until-lighter-batteries-exist-v0-Pfo8m8BtFReS8eVkwlNdLrzrOV1iQDSgDZpDgSJtEBo.webp?alt=media&token=c97361ef-dd9f-48b3-9526-01c868dcd5f0', 'medium': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Felectric-lotus-elise-delayed-until-lighter-batteries-exist-v0-Pfo8m8BtFReS8eVkwlNdLrzrOV1iQDSgDZpDgSJtEBo.webp?alt=media&token=c97361ef-dd9f-48b3-9526-01c868dcd5f0', 'small': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Felectric-lotus-elise-delayed-until-lighter-batteries-exist-v0-Pfo8m8BtFReS8eVkwlNdLrzrOV1iQDSgDZpDgSJtEBo.webp?alt=media&token=c97361ef-dd9f-48b3-9526-01c868dcd5f0', 'thumbnail': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2Felectric-lotus-elise-delayed-until-lighter-batteries-exist-v0-Pfo8m8BtFReS8eVkwlNdLrzrOV1iQDSgDZpDgSJtEBo.webp?alt=media&token=c97361ef-dd9f-48b3-9526-01c868dcd5f0'}",Hypercar,
aabFi6MpmKzNuYW48nLY,Lotus,Exige,3M 3247E,487860,Green,Present season Republican so pay something born.,1320,two,"{'url': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2FLotus_Exige_Cup_Final_Edition_03.webp?alt=media&token=5920068d-4a1f-4437-9bbb-e948bfdd4912', 'large': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2FLotus_Exige_Cup_Final_Edition_03.webp?alt=media&token=5920068d-4a1f-4437-9bbb-e948bfdd4912', 'medium': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2FLotus_Exige_Cup_Final_Edition_03.webp?alt=media&token=5920068d-4a1f-4437-9bbb-e948bfdd4912', 'small': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2FLotus_Exige_Cup_Final_Edition_03.webp?alt=media&token=5920068d-4a1f-4437-9bbb-e948bfdd4912', 'thumbnail': 'https://firebasestorage.googleapis.com/v0/b/concesionarios-baca.firebasestorage.app/o/uploads%2FLotus_Exige_Cup_Final_Edition_03.webp?alt=media&token=5920068d-4a1f-4437-9bbb-e948bfdd4912'}",Coupe,
